Team name,Description,Methods,Citation,Home,Abbreviation
COVID-19 Simulator,"An interactive tool developed by researchers at Mass General Hospital, Harvard Medical School, Georgia Tech and Boston Medical Center to inform COVID-19 intervention policy decisions in the US.","The COVID-19 Simulator uses a validated compartment model to simulate the trajectory of COVID-19 at the state level from March 15, 2020 to August 31, 2020 in the United States. Utilizing the most recent data for each state, the COVID-19 Simulator considers state-specific disease spread dynamics. Specifically, to reproduce the observed trends and project future cases of COVID-19, time-varying and state-specific effective reproductive numbers are estimated and fed as inputs into a compartment model. The compartment model is defined using Susceptible, Exposed, Infectious, and Recovered compartments (i.e., SEIR model) with continuous time progression. Model programming and analysis were performed in R (version 3.6.2), and the package deSolve was used to solve the ordinary differential equation system.",Missing,https://covid19sim.org/,Covid19Sim-Simulator
QJHong,"today's ""Daily New Confirmed Cases"" + today's ""Encounter Density""  ==> today's newly infected Cases  ==> next 2-3 weeks' ""Daily New Confirmed Cases""","today's ""Daily New Confirmed Cases"" + today's ""Encounter Density"" ==> today's newly infected Cases ==> next 2-3 weeks' ""Daily New Confirmed Cases"" (Encounter Density D data source: Unacast's Social Distancing Scoreboard, which analyzes cell phone location data, counts ""Human Encounters"", defined as two      cell phone devices that were in the same place at the same time, and then derives the probability and ""Encounter Density"".)
My model uses current ""Encounter Density"" D to predict future ""Reproductive Number"" R and ""Daily New Confirmed Cases"". This is the most fundamental idea and    assumption in this model.
The strong correlation between R and D (D is shifted by 22 days) is evident. While social distancing quickly brought down R, easing policy is slowly increasing R back above 1.
Using (1) R and D relation in the past as a training set, (2) future D as input, and (3) machine learning / regression, my model can predict future R, and ultimately future Daily New Cases.",https://github.com/qjhong/covid19,https://qjhong.github.io,QJHong-Encounter
Hussain Lab at Texas Tech University,"SIR-based compartmental model with a power law incidence rate, unknown as well as known infecteds, and time dependent social contact suppression and relaxation.",Missing,https://arxiv.org/abs/2006.05955,https://github.com/fvbttu/squider,TTU-squider
Johns Hopkins Center for Systems Science and Engineering,"County-level, empirical machine learning model driven by epidemiological, mobility, demographic, and behavioral data.",Missing,Missing,https://systems.jhu.edu/research/public-health/predicting-covid-19-risk/,JHU_CSSE-DECOM
Karlen Working Group,Discrete-time difference equations with long periods of constant transmission rate,Missing,https://arxiv.org/abs/2007.07156,https://pypm.github.io/home/,Karlen-pypm
IQVIA ACOE,Spatio-Temporal Attention Network,We proposed a spatio-temporal attention network (STAN) for state-level pandemic prediction. Our method aims at addressing these limitations and making earlier and more accurate pandemic outbreak predictions by (1) using patients EHR data from different states that encode local disease status and medical resource utilization condition; (2) considering demographic similarity and geographical proximity between locations; and (3) integrating pandemic transmission dynamics into deep learning models. STAN uses an attention-based graph convolutional network to capture geographical and temporal trends and predict the number of cases for a fixed number of days into the future. We also designed a physical law-based loss term for enhancing long-term prediction.,https://arxiv.org/abs/2008.04215,https://www.iqvia.com/landing/analytics-center-of-excellence,IQVIA_ACOE-STAN
University of California Merced MESA Lab,FoGSEIR model is a modification of integer order SEIR model considering fractional integrals. The model considers the age structure and reopening intervention to minimize infections and deaths.,"The fractional order generalized SEIR model considers the power law functions of infection cases, as well as the recovery and death.   It is necessary to introduce the fractional integral with long memory property based on the integer  order SEIR model. Through the time-weighted performance index (ITSE) of the model fitting and parameter sensitivity analysis  of the model using Simulink Design Optimization (SLDO), it is proved that the fractional order model is superior to the integer order model in terms of short-term prediction. In our model, the more accurate prediction errors of incident death and cumulative death are provided. Based on this model, we can also study the optimization control problem. By studying mobility data, the lock-down and release policies of different countries, states and counties are changed accordingly. Control infection rates to   reduce cumulative infections and deaths effectively. The model can not only fit the prediction of infection cases, but also achieve a balance between the scale of infection and the socioeconomic status by developing age-based re-open intervention through the study of social mobility.",Missing,http://mechatronics.ucmerced.edu/covid19,UCM_MESALab-FoGSEIR
Walmart Labs Data Science Team,(State) A logistic growth prophet forecasting model fit using case counts and deaths as features.,The Model is built by Propeht model with logistic growths to forecast the US cumulative deaths. By sampling from uniform distribution to get the quantiles.,Missing,https://github.com/ivan-ji-walmart/covid19-forecast-hub,WalmartLabsML-LogForecasting
University of Southern California Data Science Lab,A heterogeneous infection rate model with human mobility for epidemic modeling. Our model adapts to changing trends and provide predictions of confirmed cases and deaths.,"We use our own epidemic model called SI-kJalpha, preliminary version of which we have successfully used during DARPA Grand Challenge 2014. Our model can consider the effect of many complexities of the epidemic process and yet be simplified to a few parameters that are learned using fast linear regressions. Therefore, our approach can learn and generate forecasts extremely quickly. On a 2 core desktop machine, our approach takes only 3.18s to tune hyper-parameters, learn parameters and generate 100 days of forecasts of reported cases and deaths for all the states in the US. The total execution time for 184 countries is 11.83s and for more than 3000 US counties is 101.03s. Despite being fast, the accuracy of our forecasts is on par with the state-of-the-art as demonstrated on the leaderboard page. at https://scc-usc.github.io/ReCOVER-COVID-19. Our model is able to quickly adapt to changing trends, and the variations in parameters during different times/policies allow us to forecast different scenarios such as what would happen if we were to disregard social distancing suggestions. For each state, we model hospitalizations as a separate compartment, as a linear function of recent cases with heterogeneous rates. This means that for some hyper-parameter J, those who were infected at time t-1 to t-J will have a separate rate from those infected at t-(J+1) to t-2J, and so on. This is similar to how we perform death forecasts. For long-term forecasts (more than a few days in the future), the cases are forecasted first based on our SIkJalpha model, which forms the input to hospitalization prediction. While we account for changing trends by putting more emphasis on recently seen data, we assume that the trends will remain the same in the future for our point forecasts. We try to account for changing trends in the future in our quantile forecasts by modeling the empirical error our approach makes using a Random Forest.",https://arxiv.org/abs/2007.05180,https://scc-usc.github.io/ReCOVER-COVID-19,USC-SI_kJalpha
RPI and UW,A mobility-informed simplified SIR model motivated by collision theory.,"We incorporate mobility information into a simplified SIR model which has an analytical solution with only two fitting parameters. Without any social- distancing policy or geological/demographic inputs, the model works very well  for the twenty hardest-hit counties in the United States. This model is quite  different from other models yet provide parameters with clear physical meaning.  We have shown the cumulative mobility plays the role of time in controling  exponential growth of outbreak. Furthermore, there exists a critical relative  mobility above which outbreak will occur. For NYC, this critical relative  mobility is 30%. The critical relative mobility is ~60% for all other counties.  In this forecast, we chose the ~30 heaviest hit states, while combine the rest  of the states together into one superstate. This practice is necessary to obtain  meaningful model parameters. The forecast is based on Eq. 3 of the citation above,  fatality-reference, which is the average of the 11-day-period prior to prediction-date.  The cumulative mobility is the average of three Google mobility categories:  retail and recreation, transit station and work place. We have shown in  our paper those three categorites behave similarly. We conducted standard error  analysis on our forecast in which the uncertainty comes from both the fitting  error and the variation of the reference fatality. Quantile forecast is calculated  based on standard error assuming normal distribution. State-level forecast has been  included for 32 states. Other states and county-level forecast will be included later. Starting Nov 29th, we included a summer reduction of 10% from 06/01 to 09/01 and an  election mobility increase of 10% from 09/01 to 11/03. The summer reduction of mobility  accounts for elevated outdoor activities while election mobility increase accounts for  large gatherings of political rally which maybe washed out in the averaged state-mobility.  Google mobility data may have been affected by a recent Sep update.",https://www.medrxiv.org/content/10.1101/2020.07.25.20162016v1,http://rpi-uw-covid-mobility.herokuapp.com/,RPI_UW-Mob_Collision
NotreDame-FRED,FRED is an agent-based model developed for influenza with parameters modified to represent the natural history of COVID-19,"We used an existing agent-based model, FRED (Framework for Reconstructing Epidemic Dynamics) which was developed by the university of Pittsburgh in response to the 2009 influenza pandemic (Grefenstette et al. 2013). We modified the model parameters to represent the natural history of COVID-19 and calibrated a set of parameters to reproduce current trends of deaths due to COVID-19 in the US. FRED simulates the spread of the virus in a population by recreating interactions among people on a daily basis. To accurately represent the population of each of the states simulated, we used a synthetic population of the US that represents demographic and geographic characteristics of the population in 2010 (Wheaton 2012). Each human is modeled as an agent that visits a set of places defined by their activity space. This activity space contains places such as households, schools, workplaces, or neighborhood locations. Transmission of SARS-CoV-2 can occur when an infected person visits the same location as a susceptible person on the same day. Numbers of contacts per person are specific to each place type. For instance, school contacts do not depend on the size of the school but the age of the agent. Infected agents have a probability to stay at home if they develop symptoms. Those who do not stay at home continue their daily activities. Public health interventions are included in the model to represent the changes in agents’ behavior in response to an epidemic.  In this study, we limited the interventions to school closure and shelter in place. Schools are closed on a specific date to represent state-level guidelines (IHME COVID-19 health service utilization forecasting Team and Murray 2020). In the case that schools are closed, students limit their activity space to household or neighborhood locations. Shelter-in-place interventions reduce each agent’s activity space to their household at a compliance level from 0-100%, which was estimated as part of the model calibration. Agents who do not comply with the shelter-in-place orders continue with their daily routines. We used state-level orders to determine the date at which people are advised to shelter in place (IHME COVID-19 health service utilization forecasting Team and Murray 2020).  See the methods file in our repo for more detailed methods and model limitations.
Updates 2020-05-11 - We updated our likelihood used in our calibration, switching from a Poisson to a negative binomial distribution in order to allow for greater over-dispersion in the distribution of deaths. - We changed the way that we calculate the proportion of the population that is sheltering in place. We no longer use the dates at which government advisories were issued. Instead, we now exclusively use the google mobility data (https://www.google.com/covid19/mobility/) on journeys made to residential locations. We calibrate the maximum compliance to shelter in place, and use a generalized additive model fitted to the google data to forecast movement in the coming 5 weeks. For more details on this approach, see the methods file in our repo.",Missing,https://github.com/confunguido/covid19_ND_forecasting,NotreDame-FRED
Institute for Health Metrics and Evaluation,This model makes predictions about the future that are dependent on the assumption  that current interventions continue. Non-linear mixed efects curve-fitting.,"This model makes predictions about the future that are dependent on the assumption  that current interventions continue. The modeling approach in this study is divided into four components:  (i) identification and processing of COVID-19 data;  (ii) statistical model estimation for population death rates as a function of time  since the death rate exceeds a threshold in a location;  (iii) predicting time to exceed a given population death threshold in states early in the pandemic; and  (iv) modeling health service utilization as a function of deaths."" CurveFit package available at: https://github.com/ihmeuw-msca/CurveFit",https://www.medrxiv.org/content/10.1101/2020.03.27.20043752v1,https://covid19.healthdata.org/united-states-of-america,IHME-CurveFit
